feature,importance,category
total_time23,24,Timing
air_time17,21,Timing
pressure_mean8,15,Pressure
total_time22,14,Timing
num_of_pendown19,13,Other
disp_index22,11,Other
pressure_var19,11,Pressure
pressure_mean5,11,Pressure
mean_gmrt17,10,Other
total_time17,10,Timing
max_y_extension25,10,Other
air_time22,9,Timing
paper_time19,9,Timing
total_time15,9,Timing
mean_jerk_on_paper15,9,Other
air_time23,8,Timing
paper_time25,7,Timing
total_time8,7,Timing
paper_time17,7,Timing
pressure_mean4,6,Pressure
disp_index16,6,Other
total_time2,6,Timing
total_time9,6,Timing
mean_jerk_on_paper5,6,Other
pressure_mean9,5,Pressure
mean_speed_on_paper2,5,Speed
paper_time9,5,Timing
total_time20,5,Timing
pressure_mean25,4,Pressure
mean_speed_in_air1,4,Speed
mean_speed_in_air24,4,Speed
max_x_extension12,4,Other
pressure_mean17,4,Pressure
gmrt_in_air17,4,Other
paper_time14,4,Timing
mean_gmrt8,4,Other
total_time3,4,Timing
max_y_extension20,4,Other
paper_time23,4,Timing
gmrt_in_air1,4,Other
mean_jerk_in_air3,4,Other
air_time2,4,Timing
paper_time15,3,Timing
mean_acc_on_paper11,3,Other
mean_jerk_in_air5,3,Other
total_time16,3,Timing
air_time20,3,Timing
air_time6,3,Timing
mean_jerk_on_paper24,3,Other
total_time24,3,Timing
total_time1,3,Timing
pressure_mean18,3,Pressure
air_time18,3,Timing
paper_time22,2,Timing
mean_acc_in_air1,2,Other
mean_acc_on_paper12,2,Other
paper_time6,2,Timing
paper_time16,2,Timing
gmrt_in_air19,2,Other
disp_index21,2,Other
mean_jerk_on_paper13,2,Other
mean_speed_on_paper8,2,Speed
mean_acc_on_paper7,2,Other
gmrt_on_paper8,2,Other
mean_acc_in_air20,2,Other
gmrt_on_paper18,2,Other
mean_acc_on_paper17,2,Other
mean_acc_on_paper20,2,Other
total_time19,2,Timing
pressure_mean11,2,Pressure
pressure_mean10,2,Pressure
total_time11,2,Timing
mean_gmrt3,2,Other
mean_speed_in_air21,2,Speed
mean_jerk_on_paper21,1,Other
pressure_mean22,1,Pressure
mean_jerk_in_air23,1,Other
disp_index23,1,Other
mean_speed_on_paper22,1,Speed
air_time24,1,Timing
mean_jerk_in_air2,1,Other
max_x_extension25,1,Other
pressure_var25,1,Pressure
mean_acc_in_air2,1,Other
mean_gmrt25,1,Other
mean_gmrt23,1,Other
mean_speed_on_paper23,1,Speed
mean_jerk_in_air20,1,Other
pressure_mean6,1,Pressure
mean_jerk_on_paper6,1,Other
mean_acc_in_air15,1,Other
disp_index17,1,Other
mean_jerk_on_paper17,1,Other
mean_speed_on_paper4,1,Speed
num_of_pendown16,1,Other
max_x_extension6,1,Other
mean_gmrt5,1,Other
mean_speed_in_air19,1,Speed
max_y_extension19,1,Other
max_x_extension19,1,Other
mean_gmrt18,1,Other
mean_gmrt19,1,Other
pressure_var18,1,Pressure
mean_acc_in_air5,1,Other
mean_acc_in_air3,1,Other
num_of_pendown20,1,Other
gmrt_on_paper4,1,Other
num_of_pendown21,1,Other
pressure_mean21,1,Pressure
mean_acc_on_paper3,1,Other
mean_speed_on_paper3,1,Speed
mean_speed_in_air3,1,Speed
gmrt_in_air20,1,Other
mean_gmrt4,1,Other
pressure_mean20,1,Pressure
air_time21,1,Timing
air_time16,1,Timing
pressure_var6,1,Pressure
gmrt_in_air7,1,Other
disp_index7,1,Other
paper_time8,1,Timing
max_x_extension13,1,Other
mean_gmrt13,1,Other
mean_acc_in_air8,1,Other
gmrt_in_air13,1,Other
max_y_extension15,1,Other
gmrt_on_paper14,1,Other
air_time13,1,Timing
mean_jerk_on_paper14,1,Other
pressure_var14,1,Pressure
mean_gmrt14,1,Other
mean_jerk_on_paper7,1,Other
paper_time7,1,Timing
pressure_mean7,1,Pressure
pressure_var7,1,Pressure
gmrt_in_air8,1,Other
mean_speed_on_paper9,1,Speed
mean_jerk_on_paper9,1,Other
mean_acc_on_paper9,1,Other
paper_time10,1,Timing
gmrt_on_paper10,1,Other
mean_speed_on_paper10,1,Speed
total_time10,1,Timing
air_time11,1,Timing
disp_index12,1,Other
pressure_mean1,1,Pressure
mean_gmrt1,1,Other
mean_jerk_on_paper1,1,Other
mean_acc_on_paper24,1,Other
gmrt_in_air25,1,Other
pressure_mean24,1,Pressure
air_time1,1,Timing
total_time25,0,Timing
disp_index25,0,Other
air_time25,0,Timing
pressure_var24,0,Pressure
paper_time24,0,Timing
num_of_pendown24,0,Other
mean_speed_on_paper24,0,Speed
mean_jerk_in_air24,0,Other
mean_gmrt24,0,Other
mean_acc_in_air24,0,Other
mean_acc_on_paper2,0,Other
mean_gmrt2,0,Other
mean_jerk_on_paper2,0,Other
mean_speed_in_air2,0,Speed
num_of_pendown2,0,Other
paper_time2,0,Timing
pressure_mean2,0,Pressure
max_x_extension24,0,Other
mean_acc_on_paper23,0,Other
mean_jerk_on_paper23,0,Other
mean_speed_in_air23,0,Speed
num_of_pendown23,0,Other
pressure_mean23,0,Pressure
pressure_var23,0,Pressure
disp_index24,0,Other
gmrt_in_air24,0,Other
air_time10,0,Timing
disp_index10,0,Other
gmrt_in_air10,0,Other
max_x_extension10,0,Other
max_y_extension10,0,Other
mean_acc_in_air10,0,Other
mean_acc_on_paper10,0,Other
mean_gmrt10,0,Other
mean_jerk_in_air10,0,Other
mean_jerk_on_paper10,0,Other
mean_speed_in_air10,0,Speed
num_of_pendown10,0,Other
gmrt_in_air9,0,Other
gmrt_on_paper9,0,Other
max_x_extension9,0,Other
max_y_extension9,0,Other
mean_jerk_in_air12,0,Other
mean_jerk_on_paper12,0,Other
mean_speed_in_air12,0,Speed
pressure_var10,0,Pressure
disp_index11,0,Other
gmrt_in_air11,0,Other
gmrt_on_paper11,0,Other
max_x_extension11,0,Other
max_y_extension11,0,Other
mean_acc_in_air11,0,Other
mean_gmrt11,0,Other
mean_jerk_in_air11,0,Other
mean_jerk_on_paper11,0,Other
mean_speed_in_air11,0,Speed
mean_speed_on_paper11,0,Speed
num_of_pendown11,0,Other
mean_acc_on_paper8,0,Other
mean_jerk_in_air8,0,Other
mean_jerk_on_paper8,0,Other
mean_speed_in_air8,0,Speed
num_of_pendown8,0,Other
pressure_var8,0,Pressure
air_time9,0,Timing
disp_index9,0,Other
mean_acc_in_air7,0,Other
pressure_var11,0,Pressure
air_time12,0,Timing
gmrt_in_air12,0,Other
gmrt_on_paper12,0,Other
max_y_extension12,0,Other
mean_acc_in_air12,0,Other
mean_gmrt12,0,Other
mean_acc_in_air14,0,Other
mean_acc_on_paper14,0,Other
mean_speed_on_paper12,0,Speed
num_of_pendown12,0,Other
paper_time12,0,Timing
pressure_mean12,0,Pressure
pressure_var12,0,Pressure
total_time12,0,Timing
disp_index13,0,Other
gmrt_on_paper13,0,Other
max_y_extension13,0,Other
mean_acc_in_air13,0,Other
mean_acc_on_paper13,0,Other
mean_jerk_in_air13,0,Other
paper_time11,0,Timing
max_y_extension8,0,Other
disp_index15,0,Other
gmrt_in_air15,0,Other
gmrt_on_paper15,0,Other
max_x_extension15,0,Other
mean_speed_in_air13,0,Speed
mean_speed_on_paper13,0,Speed
num_of_pendown13,0,Other
paper_time13,0,Timing
pressure_mean13,0,Pressure
pressure_var13,0,Pressure
total_time13,0,Timing
air_time14,0,Timing
disp_index14,0,Other
gmrt_in_air14,0,Other
max_x_extension14,0,Other
max_y_extension14,0,Other
mean_gmrt7,0,Other
mean_jerk_in_air7,0,Other
mean_speed_in_air7,0,Speed
mean_speed_on_paper7,0,Speed
num_of_pendown7,0,Other
total_time7,0,Timing
air_time8,0,Timing
disp_index8,0,Other
mean_gmrt6,0,Other
mean_jerk_in_air14,0,Other
mean_speed_in_air14,0,Speed
mean_speed_on_paper14,0,Speed
num_of_pendown14,0,Other
pressure_mean14,0,Pressure
total_time14,0,Timing
air_time15,0,Timing
num_of_pendown6,0,Other
total_time6,0,Timing
air_time7,0,Timing
gmrt_on_paper7,0,Other
max_x_extension7,0,Other
max_y_extension7,0,Other
mean_acc_on_paper15,0,Other
mean_gmrt15,0,Other
mean_jerk_in_air15,0,Other
mean_speed_in_air15,0,Speed
mean_speed_on_paper15,0,Speed
num_of_pendown15,0,Other
pressure_mean15,0,Pressure
pressure_var15,0,Pressure
gmrt_in_air16,0,Other
gmrt_on_paper16,0,Other
num_of_pendown17,0,Other
pressure_var17,0,Pressure
max_x_extension16,0,Other
max_y_extension16,0,Other
mean_acc_in_air16,0,Other
mean_acc_on_paper16,0,Other
mean_gmrt16,0,Other
mean_jerk_in_air16,0,Other
mean_jerk_on_paper16,0,Other
mean_speed_in_air16,0,Speed
mean_speed_on_paper16,0,Speed
pressure_mean16,0,Pressure
pressure_var16,0,Pressure
mean_jerk_in_air6,0,Other
mean_speed_in_air6,0,Speed
mean_speed_on_paper6,0,Speed
paper_time5,0,Timing
pressure_var5,0,Pressure
total_time5,0,Timing
disp_index6,0,Other
gmrt_in_air6,0,Other
gmrt_on_paper6,0,Other
max_y_extension6,0,Other
mean_acc_in_air6,0,Other
mean_acc_on_paper6,0,Other
gmrt_on_paper17,0,Other
max_x_extension17,0,Other
max_y_extension17,0,Other
mean_acc_in_air17,0,Other
mean_jerk_in_air17,0,Other
mean_speed_in_air17,0,Speed
mean_speed_on_paper17,0,Speed
mean_speed_on_paper19,0,Speed
disp_index18,0,Other
gmrt_in_air18,0,Other
max_x_extension18,0,Other
max_y_extension18,0,Other
mean_acc_in_air18,0,Other
mean_acc_on_paper18,0,Other
mean_jerk_in_air18,0,Other
mean_jerk_on_paper18,0,Other
mean_speed_in_air18,0,Speed
mean_speed_on_paper18,0,Speed
num_of_pendown18,0,Other
paper_time18,0,Timing
mean_speed_in_air5,0,Speed
mean_speed_on_paper5,0,Speed
num_of_pendown5,0,Other
air_time5,0,Timing
disp_index5,0,Other
gmrt_in_air5,0,Other
gmrt_on_paper5,0,Other
max_x_extension5,0,Other
max_y_extension5,0,Other
mean_acc_on_paper5,0,Other
paper_time3,0,Timing
total_time18,0,Timing
air_time19,0,Timing
disp_index19,0,Other
gmrt_on_paper19,0,Other
mean_acc_in_air19,0,Other
mean_acc_on_paper19,0,Other
mean_jerk_in_air19,0,Other
mean_jerk_on_paper19,0,Other
max_y_extension21,0,Other
mean_acc_in_air21,0,Other
mean_acc_on_paper21,0,Other
mean_gmrt21,0,Other
mean_jerk_in_air21,0,Other
pressure_mean19,0,Pressure
disp_index20,0,Other
gmrt_on_paper20,0,Other
max_x_extension20,0,Other
mean_gmrt20,0,Other
mean_jerk_on_paper20,0,Other
mean_speed_in_air20,0,Speed
num_of_pendown4,0,Other
paper_time4,0,Timing
pressure_var4,0,Pressure
total_time4,0,Timing
air_time4,0,Timing
disp_index4,0,Other
gmrt_in_air4,0,Other
max_x_extension4,0,Other
max_y_extension4,0,Other
mean_acc_in_air4,0,Other
mean_acc_on_paper4,0,Other
mean_jerk_in_air4,0,Other
mean_jerk_on_paper4,0,Other
mean_speed_in_air4,0,Speed
pressure_var2,0,Pressure
paper_time20,0,Timing
pressure_var20,0,Pressure
gmrt_in_air21,0,Other
gmrt_on_paper21,0,Other
max_x_extension21,0,Other
max_y_extension3,0,Other
mean_jerk_on_paper3,0,Other
num_of_pendown3,0,Other
mean_speed_on_paper21,0,Speed
paper_time21,0,Timing
pressure_var21,0,Pressure
total_time21,0,Timing
gmrt_in_air22,0,Other
gmrt_on_paper22,0,Other
max_x_extension22,0,Other
max_y_extension22,0,Other
mean_acc_in_air22,0,Other
mean_acc_on_paper22,0,Other
mean_speed_on_paper20,0,Speed
pressure_mean3,0,Pressure
pressure_var3,0,Pressure
gmrt_on_paper24,0,Other
mean_gmrt22,0,Other
mean_jerk_in_air22,0,Other
mean_jerk_on_paper22,0,Other
mean_speed_in_air22,0,Speed
num_of_pendown22,0,Other
pressure_var22,0,Pressure
gmrt_in_air23,0,Other
gmrt_on_paper23,0,Other
max_x_extension23,0,Other
max_y_extension23,0,Other
air_time3,0,Timing
disp_index3,0,Other
gmrt_in_air3,0,Other
gmrt_on_paper3,0,Other
max_x_extension3,0,Other
max_y_extension24,0,Other
gmrt_on_paper25,0,Other
mean_acc_in_air25,0,Other
mean_acc_on_paper25,0,Other
mean_jerk_in_air25,0,Other
mean_jerk_on_paper25,0,Other
mean_speed_in_air25,0,Speed
mean_speed_on_paper25,0,Speed
num_of_pendown25,0,Other
disp_index1,0,Other
mean_acc_in_air23,0,Other
disp_index2,0,Other
gmrt_in_air2,0,Other
gmrt_on_paper2,0,Other
max_x_extension2,0,Other
max_y_extension2,0,Other
mean_acc_in_air9,0,Other
mean_gmrt9,0,Other
mean_jerk_in_air9,0,Other
mean_speed_in_air9,0,Speed
num_of_pendown9,0,Other
pressure_var9,0,Pressure
max_x_extension8,0,Other
gmrt_on_paper1,0,Other
max_x_extension1,0,Other
max_y_extension1,0,Other
mean_acc_on_paper1,0,Other
mean_jerk_in_air1,0,Other
mean_speed_on_paper1,0,Speed
num_of_pendown1,0,Other
paper_time1,0,Timing
pressure_var1,0,Pressure
